,missing_count,missing_pct
NUMBER OF ALUMNI EUROPEAN FOUNDERS THAT RAISED > 10M,1163,0.9839255499153976
NUMBER OF ALUMNI FOUNDERS THAT RAISED > 10M,1160,0.9813874788494078
DELIVERY METHOD,1131,0.9568527918781726
TECHNOLOGIES,869,0.7351945854483926
FOUNDERS FOUNDED COMPANIES TOTAL FUNDING,829,0.7013536379018612
VALUATION (EUR),816,0.6903553299492385
VALUATION DATE,816,0.6903553299492385
LAST FUNDING,777,0.6573604060913706
target_total_funding,762,0.6446700507614214
SUB INDUSTRIES,731,0.6184433164128595
FOUNDERS - TOP 25 PAST FOUNDERS,730,0.6175972927241963
FOUNDERS - TOP 25 UNIVERSITIES,730,0.6175972927241963
FOUNDERS LINKEDIN,725,0.6133671742808798
target_rounds,689,0.5829103214890017
LAST FUNDING DATE,689,0.5829103214890017
FIRST FUNDING DATE,689,0.5829103214890017
TEAM (EDITORIAL),656,0.5549915397631133
fundoing_new,630,0.5329949238578681
REVENUE MODEL,590,0.49915397631133673
LISTS,545,0.461082910321489
ZIPCODE,531,0.44923857868020306
INDUSTRIES,452,0.3824027072758037
B2B/B2C,440,0.37225042301184436
HQ CITY,399,0.33756345177664976
10_launch_year,369,0.31218274111675126
TAGLINE,357,0.3020304568527919
HQ COUNTRY,352,0.29780033840947545
HQ REGION,352,0.29780033840947545
ALL TAGS,349,0.2952622673434856
GROWTH STAGE,345,0.2918781725888325
11_industry_simplified,333,0.2817258883248731
id,333,0.2817258883248731
COMPANY STATUS,267,0.22588832487309646
PRIVATE LISTS,265,0.22419627749576987
8_age_moyen,260,0.21996615905245348
CEO ESTIMATED AGE,250,0.21150592216582065
2_ceo_profile,214,0.18104906937394247
CEO ACADEMIC BACKGROUND,210,0.17766497461928935
FOUNDERS HIGHEST DEGREE YEAR,182,0.15397631133671744
FOUNDERS ESTIMATED AGE,181,0.15313028764805414
FOUNDERS EXPERIENCE,169,0.14297800338409475
3_one_founder_serial,167,0.1412859560067682
1_ceo_serial,165,0.13959390862944163
FOUNDERS YEARS OF EDUCATION,163,0.13790186125211507
FOUNDERS UNIVERSITIES,151,0.12774957698815567
FOUNDERS HAS A PHD,150,0.12690355329949238
4_phd_founder,150,0.12690355329949238
FOUNDERS HAS A MBA,143,0.12098138747884941
7_MBA,143,0.12098138747884941
FOUNDERS COMPANY EXPERIENCE,137,0.11590524534686972
CEO SINCE,132,0.1116751269035533
FOUNDERS ACADEMIC BACKGROUND,130,0.10998307952622674
3_one_founder_was_serial_at_creation,129,0.10913705583756345
IS FOUNDERS FIRST COMPANY,122,0.10321489001692047
FOUNDERS IS SERIAL,112,0.09475465313028765
CEO,96,0.08121827411167512
FOUNDERS POSITION,91,0.07698815566835872
FOUNDERS,75,0.06345177664974619
6_was_1_change_founders,71,0.06006768189509306
FOUNDERS STATUSES,63,0.0532994923857868
5_has_female,58,0.049069373942470386
5_bis_mixte?,58,0.049069373942470386
FOUNDERS GENDERS,57,0.048223350253807105
0_founders_number,53,0.04483925549915398
NAME,1,0.0008460236886632825
