,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,outlier_share_iqr
LAST FUNDING,405.0,9.371037037037036,26.103625253920953,0.01,0.02,0.05,0.7,2.0,6.0,43.599999999999795,131.6291999999998,304.0,6.634284423977418,0.049069373942470386
target_total_funding,420.0,12.53802380952381,26.819956381132087,0.01,0.04,0.05,1.0,2.975,10.415000000000001,64.30499999999981,133.66420000000008,233.04,4.367416489935956,0.04568527918781726
10_launch_year,813.0,2014.0270602706028,4.410216066840172,1975.0,1993.36,2009.0,2012.0,2015.0,2016.0,2019.0,2019.0,2020.0,-3.6846650017157425,0.0194585448392555
target_rounds,493.0,2.4219066937119678,1.7566617730149925,1.0,1.0,1.0,1.0,2.0,3.0,6.0,8.0,11.0,1.5749082970124921,0.01692047377326565
8_age_moyen,922.0,43.88684020246205,10.32167066827533,22.0,26.0,30.0,35.0,42.0,50.0,62.0,70.0,90.0,0.608642806590403,0.004230118443316413
fundoing_new,552.0,3.3682065217391304,3.8745112271701276,0.0,0.0,0.0,0.0475,1.5550000000000002,6.092499999999999,10.0,10.0,10.0,0.8304221359461255,0.0
6_was_1_change_founders,1111.0,0.11971197119711971,0.3247706159748838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.346110341121885,0.0
id,849.0,1414604.9787985866,556822.0834807146,3388.0,19120.920000000002,167542.20000000004,922801.0,1618873.0,1891276.0,1988253.0,1988412.12,1988455.0,-0.8615563669741197,0.0
5_has_female,1124.0,0.15391459074733096,0.36102749357039793,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.9206421863433392,0.0
5_bis_mixte?,1124.0,0.24288256227758007,0.6017879715378506,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.2944822762648425,0.0
7_MBA,1039.0,0.21462945139557266,0.4107627572158833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3921462972217686,0.0
4_phd_founder,1032.0,0.5348837209302325,0.4990234751543292,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.14007940728588117,0.0
3_one_founder_serial,1015.0,0.3448275862068966,0.47554634294415554,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6538953699046216,0.0
3_one_founder_was_serial_at_creation,1053.0,0.33998100664767333,0.4739274458960046,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6765740318082036,0.0
1_ceo_serial,1017.0,0.27925270403146507,0.44885268444965476,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9855450292384785,0.0
NUMBER OF ALUMNI EUROPEAN FOUNDERS THAT RAISED > 10M,19.0,1.0526315789473684,0.22941573387056177,1.0,1.0,1.0,1.0,1.0,1.0,1.0999999999999979,1.8200000000000003,2.0,4.358898943540673,0.0
